secid,date,symbol,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,optionid,index_flag,issuer,exercise_style
108105,19960104,09AD3.04,19960316,19960104,P,530000,0.4375,0.625,250,1598,0.191658,10146564,1,CBOE S&P 500 INDEX,E
108105,19960104,09C49.C1,19960316,,P,550000,1.1875,1.3125,0,3037,0.181884,10242497,1,CBOE S&P 500 INDEX,E
108105,19960104,098D6.C9,19960217,,C,570000,48.25,49.25,0,90,,10016457,1,CBOE S&P 500 INDEX,E
108105,19960104,09B8D.B1,19960316,19960104,C,580000,41.5,42.5,136,7330,0.110537,10194353,1,CBOE S&P 500 INDEX,E
108105,19960104,09C09.A2,19960316,,C,560000,59.75,60.75,0,5549,,10226082,1,CBOE S&P 500 INDEX,E
108105,19960104,09C0A.41,19960921,,C,520000,108.125,109.125,0,0,0.155617,10226241,1,CBOE S&P 500 INDEX,E
108105,19960104,098E1.23,19960622,,C,595000,38.5,39.5,0,195,0.125173,10019107,1,CBOE S&P 500 INDEX,E
108105,19960104,09B94.13,19961221,,P,400000,0.5,0.75,0,1602,0.221758,10195987,1,CBOE S&P 500 INDEX,E
108105,19960104,09BD1.A4,19971220,,P,575000,21,22,0,0,0.157811,10211748,1,CBOE S&P 500 INDEX,E
108105,19960104,099D6.78,19970621,19960104,P,700000,68,70,500,900,0.122744,10081912,1,CBOE S&P 500 INDEX,E
108105,19960104,098A3.1A,19960316,19960104,C,600000,24.75,25.75,150,5633,0.110927,10003226,1,CBOE S&P 500 INDEX,E
108105,19960104,09C60.78,19960921,,C,550000,81.875,82.875,0,239,0.148095,10248312,1,CBOE S&P 500 INDEX,E
108105,19960104,09C63.EE,19960217,,C,580000,38.625,39.625,0,200,,10249198,1,CBOE S&P 500 INDEX,E
108105,19960104,098B6.4F,19970621,19960104,P,550000,11.625,13.25,5,3282,0.159369,10008143,1,CBOE S&P 500 INDEX,E
108105,19960104,09C69.1E,19960316,19960104,P,560000,1.75,2,3,2971,0.176965,10250526,1,CBOE S&P 500 INDEX,E
108105,19960104,09AB1.B9,19960120,,C,550000,65.5,66.5,0,2062,,10138041,1,CBOE S&P 500 INDEX,E
108105,19960104,09C26.05,19961221,19960104,P,575000,12.75,13.75,2,4591,0.153384,10233349,1,CBOE S&P 500 INDEX,E
108105,19960104,09B31.FD,19960316,19960104,P,525000,0.5,0.625,100,7759,0.203213,10170877,1,CBOE S&P 500 INDEX,E
108105,19960104,09B02.A1,19960921,,C,575000,61.625,62.625,0,681,0.141599,10158753,1,CBOE S&P 500 INDEX,E
108105,19960104,099F0.8E,19960921,,P,585000,11.375,12.125,0,512,0.144784,10088590,1,CBOE S&P 500 INDEX,E
108105,19960104,09ABE.0A,19960622,19960104,P,575000,6.5,7,20,5987,0.150777,10141194,1,CBOE S&P 500 INDEX,E
108105,19960104,09BF1.B6,19960316,,C,665000,0.4375,0.6875,0,421,0.094565,10219958,1,CBOE S&P 500 INDEX,E
108105,19960104,09BF2.B7,19960622,,C,550000,75.875,76.875,0,7918,0.137071,10220215,1,CBOE S&P 500 INDEX,E
108105,19960104,09BBC.DE,19960120,,C,525000,90.5,91.5,0,544,,10206430,1,CBOE S&P 500 INDEX,E
108105,19960104,09C3B.52,19970621,,P,575000,16.375,18,0,1766,0.152232,10238802,1,CBOE S&P 500 INDEX,E
108105,19960104,098D3.63,19960217,19960104,P,620000,9.75,10.25,469,5621,0.119911,10015587,1,CBOE S&P 500 INDEX,E
